ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,REG_LIM_AD
"057167030627000074","057","167","030627","00","0074",PE,,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",147.00,134.00,RUA BELCHIOR DE GODOI,"291",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"055333190144000080","055","333","190144","00","0080",AR,CAR,"1",S,S,ZEUP,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",140.00,128.00,RUA TIUBA,"358",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"055333190144000079","055","333","190144","00","0079",AR,CAR,"1",S,S,ZEUP,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",126.00,250.00,RUA TIUBA,"364",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"247002372382000063","247","002","372382","00","0063",SM,IGU,"1",S,S,ZEIS-1,"0","0",,"0","0",S,QA,"12","0",,"0","0",MA,"5","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",145.00,128.00,RUA GENARO OLAVIDE,"316",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"060159055786000137","060","159","055786","00","0137",PE,PEN,"1",S,S,ZM,"0","0",,"0","0",S,QA,"2","0",,"0","0",MA,"8","0",L,"16050","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",510.00,1200.00,RUA CUMANAXOS,"78",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"193004732141000221","193","004","732141","00","0221",GU,LAJ,"1",S,S,ZEIS-1,"0","0",,"0","0",S,QA,"9","0",,"0","0",MA,"4","0",L,"16050","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",173.00,125.00,RUA JERONIMO PEDROSO BARROS,"1366",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"055227023990000094","055","227","023990","00","0094",AR,VFO,"1",S,S,ZC,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",84.00,82.00,RUA ASFALTITE,"57",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"116513038520000074","116","513","038520","00","0074",AR,ARI,"1",S,S,ZC,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2","0",L,"16050","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",672.00,500.00,AVENIDA CIPRIANO RODRIGUES,"291",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"061095013730000312","061","095","013730","00","0312",PE,PEN,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",100.00,102.00,TV ANGELINA FERNANDES,"111",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"059106143073000115","059","106","143073","00","0115",PE,PEN,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",768.00,800.00,RUA MUNICIPAL,"390",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"051046027294000637","051","046","027294","00","0637",VP,VPR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6","0",,"0","0",MA,"2","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",1280.00,1034.00,RUA BAIA GRANDE,"678",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"149067735078000028","149","067","735078","00","0028",SM,SMT,"3",S,S,ZM,"0","0",,"0","0",S,QA,"9","0",,"0","0",MA,"3","0",L,"16050","2014",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",2571.00,2933.00,AVENIDA OURO VERDE DE MINAS,"1512",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"111335177113000097","111","335","177113","00","0097",EM,ERM,"1",S,S,ZEIS-1,"0","0",,"0","0",S,QA,"2","0",,"0","0",MA,"8","0",L,"16050","2014",PI,"3","0",L,"16050","0",,"0","0",,"0","0",,"0","0",,"0","0",464.00,483.00,RUA SAMPEI SATO,"137",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"192186795437000014","192","186","795437","00","0014",IT,IPA,"5",S,S,ZEIS-1,"0","0",,"0","0",S,QA,"9","0",,"0","0",MA,"4","0",L,"16050","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"0","0",113.00,113.00,RUA CORNELIO DE ARZAO,"400",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
